# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
24300 4.9584 3.6132 4.64276 13.2144
24400 4.90797 3.9215 4.74163 13.5711
24500 4.82822 3.87124 4.74166 13.4411
24600 4.58086 3.86856 4.49152 12.9409
24700 4.44539 3.84488 4.45739 12.7477
24800 4.69166 3.95049 4.92786 13.57
24900 4.95787 3.80049 4.89378 13.6521
25000 4.85775 3.58251 4.91978 13.36
25100 4.90606 3.9937 5.05619 13.956
25200 4.90592 3.95793 4.90734 13.7712
25300 4.9253 3.91315 5.39185 14.2303
25400 5.09015 4.31333 4.94659 14.3501
25500 5.19729 4.0699 5.36884 14.636
25600 4.82542 4.25415 5.32601 14.4056
25700 4.72939 4.6196 5.52531 14.8743
25800 4.96859 4.12069 5.29029 14.3796
25900 4.80732 4.0788 4.93467 13.8208
26000 4.83967 4.19642 4.91405 13.9501
26100 4.95627 4.33498 4.72426 14.0155
26200 4.89344 4.25548 5.29858 14.4475
26300 4.92823 4.51264 5.66403 15.1049
26400 4.71726 4.32566 5.03295 14.0759
26500 4.66253 4.36507 5.38923 14.4168
26600 4.9802 4.35206 5.64817 14.9804
26700 5.2993 4.22625 5.49672 15.0223
26800 5.12302 4.29873 5.35777 14.7795
26900 5.10209 4.62383 5.6686 15.3945
27000 5.05091 3.83276 5.24382 14.1275
27100 5.1074 3.94738 5.33618 14.391
27200 5.12465 4.00856 5.43727 14.5705
27300 5.23467 4.16168 5.70775 15.1041
27400 5.34945 4.50767 5.9155 15.7726
27500 5.38675 4.15206 5.73102 15.2698
27600 5.42537 4.30192 5.36167 15.089
27700 5.34461 4.12725 5.6918 15.1637
27800 5.48645 4.39034 5.7067 15.5835
27900 5.08041 4.08159 5.57755 14.7395
28000 5.20497 4.14849 5.74791 15.1014
28100 4.76491 4.41144 5.50184 14.6782
28200 4.73532 4.27989 6.26823 15.2834
28300 5.08575 4.14066 6.04367 15.2701
28400 5.10619 4.42371 5.71124 15.2411
28500 5.11101 4.62318 5.6099 15.3441
28600 5.41067 4.34422 5.36525 15.1201
28700 5.4117 4.65142 5.34522 15.4083
28800 5.83056 4.50263 5.41632 15.7495
28900 5.7477 4.37379 5.48221 15.6037
29000 5.84429 4.32459 5.04502 15.2139
29100 5.57973 4.62431 5.4168 15.6208
29200 5.56492 4.42883 5.55758 15.5513
29300 5.28661 4.34416 5.78383 15.4146
29400 5.71655 4.35676 5.82952 15.9028
29500 5.5155 4.82059 5.72653 16.0626
29600 5.18684 4.67893 6.27602 16.1418
29700 5.53919 4.91437 5.77294 16.2265
29800 5.4454 4.53945 5.67921 15.6641
29900 5.84288 4.83547 5.67513 16.3535
30000 5.75381 4.97524 5.60311 16.3322
30100 5.71734 4.73921 5.66847 16.125
30200 5.87263 4.73234 6.09041 16.6954
30300 5.76195 4.72609 5.59845 16.0865
30400 5.82033 4.70908 5.78318 16.3126
30500 5.72401 4.90288 5.65912 16.286
30600 5.64512 5.05212 5.93508 16.6323
30700 5.41636 4.9081 5.97508 16.2995
30800 5.50442 4.7481 5.96212 16.2146
30900 5.71805 4.86667 5.99748 16.5822
31000 5.86888 5.13941 6.15876 17.1671
31100 5.67651 4.89873 6.38813 16.9634
31200 5.9567 5.05891 6.09878 17.1144
